ISO2,Continent
AD,Europe
AE,Asia
AF,Asia
AG,North America
AI,North America
AL,Europe
AM,Asia
AO,Africa
AR,South America
AS,Australia/Oceania
AT,Europe
AU,Australia/Oceania
AW,North America
AX,Europe
AZ,Asia
BA,Europe
BB,North America
BD,Asia
BE,Europe
BF,Africa
BG,Europe
BH,Asia
BI,Africa
BJ,Africa
BL,North America
BN,Asia
BO,South America
BM,North America
BQ,North America
BR,South America
BS,North America
BT,Asia
BV,Antarctica
BW,Africa
BY,Europe
BZ,North America
CA,North America
CC,Australia/Oceania
CD,Africa
CF,Africa
CG,Africa
CH,Europe
CI,Africa
CK,Australia/Oceania
CL,South America
CM,Africa
CN,Asia
CO,South America
CR,North America
CU,North America
CV,Africa
CW,North America
CX,Australia/Oceania
CY,Asia
CZ,Europe
DE,Europe
DJ,Africa
DK,Europe
DM,North America
DO,North America
DZ,Africa
EC,South America
EG,Africa
EE,Europe
EH,Africa
ER,Africa
ES,Europe
ET,Africa
FI,Europe
FJ,Australia/Oceania
FK,South America
FM,Australia/Oceania
FO,Europe
FR,Europe
GA,Africa
GB,Europe
GE,Asia
GD,North America
GF,South America
GG,Europe
GH,Africa
GI,Europe
GL,North America
GM,Africa
GN,Africa
GO,Unknown
GP,North America
GQ,Africa
GR,Europe
GS,Antarctica
GT,North America
GU,Australia/Oceania
GW,Africa
GY,South America
HK,Asia
HM,Antarctica
HN,North America
HR,Europe
HT,North America
HU,Europe
ID,Asia
IE,Europe
IL,Asia
IM,Europe
IN,Asia
IO,Asia
IQ,Asia
IR,Asia
IS,Europe
IT,Europe
JE,Europe
JM,North America
JO,Asia
JP,Asia
JU,Unknown
KE,Africa
KG,Asia
KH,Asia
KI,Australia/Oceania
KM,Africa
KN,North America
KP,Asia
KR,Asia
XK,Europe
KW,Asia
KY,North America
KZ,Asia
LA,Asia
LB,Asia
LC,North America
LI,Europe
LK,Asia
LR,Africa
LS,Africa
LT,Europe
LU,Europe
LV,Europe
LY,Africa
MA,Africa
MC,Europe
MD,Europe
MG,Africa
ME,Europe
MF,North America
MH,Australia/Oceania
MK,Europe
ML,Africa
MO,Asia
MM,Asia
MN,Asia
MP,Australia/Oceania
MQ,North America
MR,Africa
MS,North America
MT,Europe
MU,Africa
MV,Asia
MW,Africa
MX,North America
MY,Asia
MZ,Africa
NA,Africa
NC,Australia/Oceania
NE,Africa
NF,Australia/Oceania
NG,Africa
NI,North America
NL,Europe
NO,Europe
NP,Asia
NR,Australia/Oceania
NU,Australia/Oceania
NZ,Australia/Oceania
OM,Asia
PA,North America
PE,South America
PF,Australia/Oceania
PG,Australia/Oceania
PH,Asia
PK,Asia
PL,Europe
PM,North America
PN,Australia/Oceania
PR,North America
PS,Asia
PT,Europe
PW,Australia/Oceania
PY,South America
QA,Asia
RE,Africa
RO,Europe
RS,Europe
RU,Europe
RW,Africa
SA,Asia
SB,Australia/Oceania
SC,Africa
SD,Africa
SE,Europe
SG,Asia
SH,Africa
SI,Europe
SJ,Europe
SK,Europe
SL,Africa
SM,Europe
SN,Africa
SO,Africa
SR,South America
SS,Africa
ST,Africa
SV,North America
SX,North America
SY,Asia
SZ,Africa
TC,North America
TD,Africa
TF,Antarctica
TG,Africa
TH,Asia
TJ,Asia
TK,Australia/Oceania
TL,Asia
TM,Asia
TN,Africa
TO,Australia/Oceania
TR,Asia
TT,North America
TV,Australia/Oceania
TW,Asia
TZ,Africa
UA,Europe
UG,Africa
UM-DQ,Australia/Oceania
UM-FQ,Australia/Oceania
UM-HQ,Australia/Oceania
UM-JQ,Australia/Oceania
UM-MQ,Australia/Oceania
UM-WQ,Australia/Oceania
US,North America
UY,South America
UZ,Asia
VA,Europe
VC,North America
VE,South America
VG,North America
VI,North America
VN,Asia
VU,Australia/Oceania
WF,Australia/Oceania
WS,Australia/Oceania
YE,Asia
YT,Africa
ZA,Africa
ZM,Africa
ZW,Africa
